Nazwa produktu,price,1,2,3
"Laptop HP ZBook 14u G5 i5 - 7200U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 [A-]",1199,b,a,b
"Laptop Dell Latitude 7490 i7 - 8650U | 16GB 480GB SSD | 14"" 1920 x 1080 | Windows 11 [A]",1449,b,a,c
"Laptop Dell Latitude 5400 i5 - 8350U | 16GB 480GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",1499,b,a,c
"Laptop Lenovo ThinkPad T14s i7 - 10510 | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",1849,b,a,c
"Laptop Toshiba Dynabook Toshiba Tecra A50-EC i5 - 8250U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",749,c,a,b
"Laptop Fujitsu Lifebook E459 i5 - 8250U | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 lub 11 Pro [A-]",799,c,a,b
"Laptop Fujitsu Lifebook E459 i5 - 8250U | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 10 lub 11 Pro [A]",899,c,a,b
"Laptop Toshiba Dynabook Toshiba Tecra A50-EC i5 - 8250U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",949,c,a,b
"Laptop Fujitsu Lifebook U758 i5 - 8350U | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",999,c,a,b
"Laptop Dell Latitude 5590 i5 - 8250U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",999,c,a,b
"Laptop Dell Latitude 5500 i5-8265U,  | 8GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1249,c,a,b
"Laptop Dell Latitude 5590 i5 - 8250U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1399,c,a,b
"Laptop Dell Precision 5510 i7 - 6820H | 16GB 128GB 500GB SSD+HDD | 15,6"" 3840 x 2160 | Windows 10 lub 11 Pro [A-]",1499,c,a,c
"Laptop HP EliteBook 850 G6 i7 - 8650U | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",1549,c,a,c
"Laptop HP EliteBook 850 G7 i5 - 10310 | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",1599,c,a,c
"Laptop Lenovo ThinkPad T590 i5 - 8365U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1599,c,a,c
"Laptop Dell Latitude 5520 i5 - 1135G | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1699,c,a,c
"Laptop Dell Precision 5510 i7 - 6820H | 16GB 128GB 500GB SSD+HDD | 15,6"" 3840 x 2160 | Windows 10 lub 11 Pro [A]",1699,c,a,c
"Laptop HP EliteBook 850 G7 i5 - 10310 | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1749,c,a,c
"Laptop Dell Latitude 5590 i5 - 8350U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1999,c,a,c
"Laptop Dell Latitude 5590 i5 - 8250U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1999,c,a,c
"Laptop Dell Latitude 5590 i5 - 8250U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1999,c,a,c
"Laptop HP ZBook Fury 17 G7 i5 - 10400 | 16GB 240GB 1TB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]",2299,c,a,c
"Laptop Dell Precision 7750 i7 - 10850H | 32GB 512GB SSD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]",4499,c,a,c
"Laptop Dell Latitude 5410 i5 - 10310 | 16GB 480GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A]",1399,b,a,b
"Laptop Toshiba Dynabook Tecra A50-J i5 - 1135G | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",1299,c,a,b
"Laptop Toshiba Dynabook Tecra A50-J i5 - 1135G | 8GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1499,c,a,c
